player_id,name,team,role,age,appearances_last_season,starts_last_season,minutes_last_season,goals_last_season,assists_last_season,clean_sheets_last_season,goals_conceded_last_season,saves_last_season,penalties_scored_last_season,average_rating_last_season,fantasy_average_last_season,injury_risk,injury_risk_available,starting_probability,growth_potential,set_piece_level,data_source,notes,yellow_cards_last_season,red_cards_last_season,performance_raw,performance_score,starting_score,bonus_raw,bonus_score,reliability_score,potential_score,overall_score,overall_rank,role_rank,base_price,recommended_min,recommended_price,recommended_max,absolute_max,market_coverage,price_rank
30440,Roberto Piccoli,Cagliari,A,24,37,37,3151,10,1,0,0,0,1,6.715,7.47,0.2,False,0.9736842105263158,78,1,api_football_fixtures_2024,,6,0,7.20575,37.22,97.37,35.0,35.35,90.46,78,63.95,129,8,54.44,48,54,60,65,100.0,8
66817,Nikola Krstović,Lecce,A,25,37,37,3068,11,5,0,0,0,2,7.173,8.12,0.2,False,0.9736842105263158,68,2,api_football_fixtures_2024,,6,0,7.788549999999999,58.61,97.37,47.5,47.98,89.37,68,71.73,57,4,76.41,68,76,84,92,100.0,4
907,Romelu Lukaku,Napoli,A,32,36,35,2870,14,10,0,0,0,3,7.006,8.4,0.2,False,0.9210526315789472,38,3,api_football_fixtures_2024,,4,0,7.912100000000001,63.14,92.11,67.5,68.18,86.07,38,72.32,53,3,78.29,70,78,86,94,100.0,3
31094,Andrea Pinamonti,Genoa,A,26,36,33,2860,10,1,0,0,0,0,6.956,7.76,0.2,False,0.868421052631579,68,1,api_football_fixtures_2024,,4,0,7.4786,47.23,86.84,33.5,33.84,84.55,68,62.13,142,11,50.01,45,50,56,60,100.0,11
219,Matteo Politano,Napoli,C,32,37,34,2828,3,4,0,0,0,0,7.057,7.37,0.2,False,0.8947368421052632,38,0,api_football_fixtures_2024,,3,0,7.2604500000000005,86.42,89.47,15.0,25.21,84.18,38,69.76,76,19,11.14,9,11,13,14,100.0,18
877,Moise Kean,Fiorentina,A,25,32,31,2710,19,3,0,0,0,1,7.026,8.81,0.2,False,0.8157894736842105,68,2,api_football_fixtures_2024,,6,0,8.1856,73.18,81.58,67.0,67.68,83.88,68,75.26,39,2,88.1,79,88,97,106,100.0,2
19524,Che Adams,Torino,A,29,36,30,2656,9,3,0,0,0,0,6.91,7.7,0.2,False,0.7894736842105263,48,1,api_football_fixtures_2024,,3,0,7.4235,45.21,78.95,33.5,33.84,79.78,48,56.84,196,20,38.52,35,39,43,47,100.0,19
217,Lautaro Martínez,Inter,A,28,31,31,2577,12,3,0,0,0,0,7.204,8.45,0.2,False,0.8157894736842105,58,0,api_football_fixtures_2024,,1,0,8.0139,66.88,81.58,40.5,40.91,82.91,58,66.88,103,7,62.13,55,62,69,75,100.0,7
275651,Ange-Yoan Bonny,Parma,A,22,37,30,2545,6,4,0,0,0,2,6.929,7.5,0.2,False,0.7894736842105263,88,2,api_football_fixtures_2024,,2,0,7.30015,40.69,78.95,31.0,31.31,77.76,88,58.67,178,15,42.27,37,42,47,51,100.0,15
15811,Artem Dovbyk,AS Roma,A,28,32,27,2430,12,2,0,0,0,2,6.962,8.15,0.2,False,0.7105263157894737,58,2,api_football_fixtures_2024,,0,0,7.7341999999999995,56.61,71.05,46.0,46.46,77.07,58,61.4,152,12,48.3,43,48,53,58,100.0,12
6420,Mateo Retegui,Atalanta,A,26,36,32,2402,25,8,0,0,0,4,7.443,9.71,0.2,False,0.8421052631578947,68,3,api_football_fixtures_2024,,3,0,8.91655,100.0,84.21,99.0,100.0,77.83,68,89.53,1,1,147.64,133,148,163,175,100.0,1
50856,Valentín Castellanos,Lazio,A,27,29,28,2395,10,3,0,0,0,2,7.216,8.16,0.2,False,0.7368421052631579,58,2,api_football_fixtures_2024,,9,1,7.8296,60.11,73.68,41.5,41.92,79.65,58,62.59,137,9,51.1,45,51,57,62,100.0,9
199089,Lorenzo Lucca,Udinese,A,25,33,27,2361,12,1,0,0,0,1,6.97,7.94,0.2,False,0.7105263157894737,68,1,api_football_fixtures_2024,,10,0,7.6005,51.71,71.05,41.0,41.41,75.52,68,59.69,166,13,44.46,39,44,49,53,100.0,13
215,Sebastiano Esposito,Empoli,A,23,33,27,2341,8,0,0,0,0,1,7.133,7.84,0.2,False,0.7105263157894737,78,2,api_football_fixtures_2024,,1,0,7.59255,51.42,71.05,29.5,29.8,75.26,78,58.24,183,16,41.37,36,41,46,50,100.0,16
161859,Gaetano Oristanio,Venezia,C,23,37,29,2333,3,3,0,0,0,0,6.736,7.02,0.2,False,0.7631578947368421,78,0,api_football_fixtures_2024,,3,0,6.920599999999999,82.38,76.32,13.5,22.69,74.29,78,67.27,99,29,10.09,9,10,11,12,100.0,24
311067,Santiago Castro,Bologna,A,21,36,27,2305,8,4,0,0,0,0,6.978,7.66,0.2,False,0.7105263157894737,88,1,api_football_fixtures_2024,,7,0,7.4213000000000005,45.13,71.05,32.0,32.32,73.08,88,57.53,188,18,39.91,36,40,44,48,100.0,17
21509,Marcus Thuram,Inter,A,28,32,27,2298,14,4,0,0,0,0,7.356,8.78,0.2,False,0.7105263157894737,58,0,api_football_fixtures_2024,,1,0,8.2816,76.7,71.05,48.0,48.48,75.33,58,67.57,95,6,64.04,57,64,71,77,100.0,6
18767,Ademola Lookman,Atalanta,A,28,31,28,2263,15,5,0,0,0,1,7.383,8.93,0.2,False,0.7368421052631579,58,1,api_football_fixtures_2024,,4,0,8.38855,80.62,73.68,56.0,56.57,76.36,58,71.18,65,5,74.69,67,75,83,90,100.0,5
263481,Lorenzo Colombo,Empoli,A,23,37,26,2249,6,2,0,0,0,1,6.847,7.29,0.2,False,0.6842105263157895,78,1,api_football_fixtures_2024,,5,1,7.13495,34.62,68.42,24.5,24.75,71.16,78,50.92,265,28,27.98,25,28,31,34,100.0,26
6931,Liberato Cacace,Empoli,D,25,33,24,2234,2,4,0,0,0,0,6.707,6.92,0.2,False,0.631578947368421,68,0,api_football_fixtures_2024,,6,0,6.84545,89.1,63.16,12.0,47.43,71.58,68,69.54,79,44,5.34,4,5,6,6,100.0,42
30603,Dany Mota,Monza,A,27,31,24,2111,5,2,0,0,0,0,6.946,7.45,0.2,False,0.631578947368421,58,0,api_football_fixtures_2024,,3,0,7.2736,39.71,63.16,18.0,18.18,71.13,58,47.81,306,32,23.33,20,23,26,28,100.0,31
194837,Tomáš Suslov,Verona,C,23,31,27,2097,0,1,0,0,0,0,6.899,6.79,0.2,False,0.7105263157894737,78,0,api_football_fixtures_2024,,7,1,6.82815,81.28,71.05,1.5,2.52,73.37,78,61.46,151,48,7.94,7,8,9,10,100.0,40
147859,Charles De Ketelaere,Atalanta,A,24,36,25,2080,7,7,0,0,0,0,7.224,7.99,0.2,False,0.6578947368421053,78,0,api_football_fixtures_2024,,1,0,7.7219,56.16,65.79,31.5,31.82,68.73,78,57.77,187,17,40.4,36,40,44,48,100.0,17
1649,Patrick Cutrone,Como,A,27,33,23,2053,7,4,0,0,0,0,7.066,7.81,0.2,False,0.6052631578947368,58,1,api_football_fixtures_2024,,1,0,7.5496,49.84,60.53,29.0,29.29,68.44,58,52.01,248,25,29.75,27,30,33,36,100.0,24
