player_id,name,injury_history_available,injury_events_total,injury_events_3y,injury_burden_3y,injury_risk,injury_reference_date,injury_source
17,Christian Pulišić,True,20,6,53.663,0.393,2025-06-30,api_football_sidelined
37,Nehuén Pérez,True,2,0,0.0,0.2,2025-06-30,api_football_sidelined
59,Álvaro Morata,True,21,9,89.671,0.494,2025-06-30,api_football_sidelined
74,Sofyan Amrabat,True,9,5,33.194,0.326,2025-06-30,api_football_sidelined
85,Cyril Ngonge,True,5,2,16.306,0.265,2025-06-30,api_football_sidelined
116,Khéphren Thuram,True,5,4,54.857,0.397,2025-06-30,api_football_sidelined
123,Pietro Pellegri,True,11,2,139.92,0.605,2025-06-30,api_football_sidelined
134,Juan Miranda,True,8,3,29.072,0.312,2025-06-30,api_football_sidelined
137,Sergi Roberto,True,26,9,213.79,0.721,2025-06-30,api_football_sidelined
172,Dele Alli,True,17,2,42.353,0.357,2025-06-30,api_football_sidelined
189,Daniele Padelli,True,1,0,0.0,0.2,2025-06-30,api_football_sidelined
193,Danilo D'Ambrosio,True,10,8,122.189,0.57,2025-06-30,api_football_sidelined
194,Stefan de Vrij,True,9,6,70.306,0.443,2025-06-30,api_football_sidelined
200,Gabriele Zappa,True,2,1,18.7,0.274,2025-06-30,api_football_sidelined
203,Roberto Gagliardini,True,5,4,179.115,0.673,2025-06-30,api_football_sidelined
211,Matías Vecino,True,4,3,64.178,0.425,2025-06-30,api_football_sidelined
213,Keita Baldé,True,4,1,29.319,0.313,2025-06-30,api_football_sidelined
215,Sebastiano Esposito,True,2,2,29.441,0.313,2025-06-30,api_football_sidelined
217,Lautaro Martínez,True,7,6,71.678,0.446,2025-06-30,api_football_sidelined
219,Matteo Politano,True,5,4,24.093,0.294,2025-06-30,api_football_sidelined
226,Denzel Dumfries,True,8,4,68.513,0.437,2025-06-30,api_football_sidelined
227,Angeliño,True,3,0,0.0,0.2,2025-06-30,api_football_sidelined
237,Gastón Pereiro,True,1,0,0.0,0.2,2025-06-30,api_football_sidelined
271,Leandro Paredes,True,8,0,0.0,0.2,2025-06-30,api_football_sidelined
288,Alberto Moreno,True,19,7,93.925,0.505,2025-06-30,api_football_sidelined
312,Alex Meret,True,4,4,52.882,0.391,2025-06-30,api_football_sidelined
317,Elseid Hysaj,True,3,3,43.402,0.361,2025-06-30,api_football_sidelined
319,Sebastiano Luperto,True,2,1,8.912,0.236,2025-06-30,api_football_sidelined
325,Gianluca Gaetano,True,3,3,69.034,0.439,2025-06-30,api_football_sidelined
329,Piotr Zieliński,True,7,7,136.622,0.599,2025-06-30,api_football_sidelined
334,Simone Verdi,True,1,0,0.0,0.2,2025-06-30,api_football_sidelined
415,Weston McKennie,True,12,4,42.812,0.359,2025-06-30,api_football_sidelined
418,Suat Serdar,True,15,3,83.735,0.479,2025-06-30,api_football_sidelined
483,Khvicha Kvaratskhelia,True,7,5,55.272,0.398,2025-06-30,api_football_sidelined
501,Mats Hummels,True,25,1,3.343,0.214,2025-06-30,api_football_sidelined
530,Mitchel Bakker,True,8,4,45.329,0.367,2025-06-30,api_football_sidelined
541,Jürgen Ekkelenkamp,True,3,1,9.778,0.24,2025-06-30,api_football_sidelined
552,David Neres,True,8,2,54.375,0.396,2025-06-30,api_football_sidelined
556,Mile Svilar,True,8,0,0.0,0.2,2025-06-30,api_football_sidelined
561,Tyronne Ebuehi,True,7,3,118.137,0.561,2025-06-30,api_football_sidelined
583,João Félix,True,15,2,12.658,0.251,2025-06-30,api_football_sidelined
618,Danilo,True,15,7,72.526,0.449,2025-06-30,api_football_sidelined
627,Kyle Walker,True,24,7,70.437,0.443,2025-06-30,api_football_sidelined
628,Adrián Bernabé,True,4,3,94.655,0.507,2025-06-30,api_football_sidelined
656,Oumar Solet,True,1,0,0.0,0.2,2025-06-30,api_football_sidelined
659,Maxence Caqueret,True,5,2,24.75,0.296,2025-06-30,api_football_sidelined
665,Maxwel Cornet,True,27,4,121.056,0.567,2025-06-30,api_football_sidelined
690,Viktor Kovalenko,True,3,3,26.761,0.304,2025-06-30,api_football_sidelined
711,Stefan Posch,True,11,2,76.639,0.46,2025-06-30,api_football_sidelined
769,Alessandro Florenzi,True,10,2,105.98,0.534,2025-06-30,api_football_sidelined
774,Juan Jesus,True,2,2,46.24,0.37,2025-06-30,api_football_sidelined
778,Bryan Cristante,True,1,1,39.672,0.348,2025-06-30,api_football_sidelined
782,Lorenzo Pellegrini,True,7,6,58.244,0.407,2025-06-30,api_football_sidelined
